Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),22.56,0.00,32.19,,,,,,22.89,,22.99,23.02,23.07,2.51
Active Decode Throughput Per User (tokens/sec/user),4.52,0.00,6.44,,,,,,4.58,,4.60,4.60,4.61,0.44
Active Prefill Throughput (tokens/sec),1099.39,239.04,1744.29,,,,,,1087.59,,1605.54,1744.29,1744.29,410.20
Active Prefill Throughput Per User (tokens/sec/user),300.92,239.04,654.72,,,,,,271.90,,363.73,364.82,516.71,56.60
Active Total Throughput (tokens/sec),44.89,4.57,1744.29,,,,,,22.78,,22.79,22.79,1092.12,163.73
Credit-to-Start Latency (ms),3.21,1.12,5.81,80.23,1.17,1.33,1.39,2.88,3.35,3.63,4.50,5.60,5.80,1.19
Decode Duration (ms),219254.33,218419.92,220740.39,5481358.29,218419.96,218454.97,218594.58,218743.28,219150.83,219200.62,220705.00,220721.40,220736.30,752.73
E2E Output Token Throughput (tokens/sec/user),4.49,4.46,4.50,112.29,4.47,4.49,4.49,4.49,4.49,4.49,4.50,4.50,4.50,0.01
Effective Concurrency,5.00,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,0.05
Effective Decode Concurrency,4.92,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,0.55
Effective Decode Throughput (tokens/sec),22.43,0.00,32.19,,,,,,22.89,,22.99,23.02,23.07,3.03
Effective Decode Throughput Per User (tokens/sec/user),4.50,0.00,6.44,,,,,,4.58,,4.60,4.60,4.61,0.55
Effective Latency (CO-aware) (ms),222589.30,222059.10,222779.40,5564732.56,222111.09,222275.74,222301.02,222633.10,222660.21,222676.93,222682.03,222759.92,222779.39,175.53
Effective Prefill Concurrency,0.07,0.00,5.00,,,,,,0.00,,0.00,0.00,4.00,0.55
Effective Prefill Throughput (tokens/sec),22.46,0.00,1744.29,,,,,,0.00,,0.00,0.00,1087.59,166.21
Effective Prefill Throughput Per User (tokens/sec/user),6.15,0.00,654.72,,,,,,0.00,,0.00,0.00,271.90,43.33
Effective Total Throughput (tokens/sec),44.89,0.00,1744.29,,,,,,22.78,,22.79,22.79,1092.12,163.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1000.00,1000.00,1000.00,25000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,1.60,5.95,0.00,0.00,0.00,0.00,0.00,0.00,1.06,1.30,1.54,0.49
HTTP Connection Overhead (ms),0.24,0.00,1.60,5.95,0.00,0.00,0.00,0.00,0.00,0.00,1.06,1.30,1.54,0.49
HTTP Connection Reused (ratio),0.80,0.00,1.00,20.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),237.71,237.35,238.05,5942.74,237.35,237.36,237.43,237.66,237.72,237.83,237.91,237.96,238.03,0.18
HTTP Data Sent (KB),4.42,4.09,4.74,110.51,4.11,4.19,4.27,4.31,4.44,4.52,4.57,4.63,4.72,0.14
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),222585.97,222057.84,222777.85,5564649.37,222109.77,222274.24,222298.69,222630.07,222656.52,222673.35,222678.45,222757.74,222777.77,175.00
HTTP Receiving (ms),219254.34,218419.93,220740.40,5481358.61,218419.97,218454.99,218594.62,218743.28,219150.83,219200.63,220705.01,220721.40,220736.31,752.73
HTTP Sending (ms),0.51,0.18,1.98,12.78,0.18,0.19,0.20,0.23,0.28,0.35,1.34,1.63,1.91,0.52
HTTP Total Time (ms),222586.21,222058.97,222779.19,5564655.31,222110.86,222275.17,222299.25,222630.07,222656.52,222673.35,222678.45,222759.02,222779.17,174.86
HTTP Waiting (TTFB) (ms),3331.12,1525.76,4181.54,83277.97,1622.86,1931.24,1935.40,3269.35,3477.74,3913.35,3917.93,4128.34,4181.39,784.93
Input Sequence Length (tokens),1000.00,1000.00,1000.00,25000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
Inter Chunk Latency (ms),219.69,212.99,1759.53,5481358.29,217.03,217.45,217.69,218.13,218.61,219.11,219.57,219.89,220.79,30.04
Inter Token Latency (ms),219.53,218.64,220.96,5488.17,218.64,218.67,218.81,218.96,219.37,219.42,220.93,220.94,220.96,0.76
OSL Mismatch Diff % (%),-0.02,-0.60,0.00,-0.60,-0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
Output Sequence Length (tokens),999.76,994.00,1000.00,24994.00,995.44,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1.18
Output Token Count (tokens),999.76,994.00,1000.00,24994.00,995.44,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1.18
Output Token Throughput Per User (tokens/sec/user),4.56,4.53,4.57,113.88,4.53,4.53,4.53,4.56,4.56,4.57,4.57,4.57,4.57,0.02
Prefill Throughput Per User (tokens/sec/user),326.29,239.04,654.72,8157.14,239.04,242.29,255.21,255.51,287.51,305.74,516.58,517.70,621.89,113.33
Request Latency (ms),222586.09,222057.98,222778.05,5564652.32,222109.92,222274.38,222298.81,222630.17,222656.61,222673.44,222678.55,222757.91,222777.97,175.00
Time to First Output Token (ms),3331.76,1527.38,4183.47,83294.04,1624.17,1931.61,1935.82,3270.75,3478.11,3913.73,3918.28,4130.17,4183.38,784.94
Time to First Token (ms),3331.76,1527.38,4183.47,83294.04,1624.17,1931.61,1935.82,3270.75,3478.11,3913.73,3918.28,4130.17,4183.38,784.94
Time to Second Token (ms),814.61,218.16,1759.53,20365.30,218.22,218.61,219.44,219.82,943.51,951.99,1755.40,1757.94,1759.27,569.81
Tokens In Flight (tokens),7457.68,0.00,9994.00,,,,,,7457.96,,9484.00,9737.42,9939.00,1464.06

Metric,Value
Benchmark Duration (sec),1113.13
Input Token Throughput (tokens/sec),22.46
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),22.45
Request Count,25.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),25000.00
Total Output Sequence Length (tokens),24994.00
Total Output Tokens (tokens),24994.00
Total Token Throughput (tokens/sec),44.91


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
