Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),42.15,0.56,52.55,,,,,,43.60,,43.85,43.90,44.00,7.29
Active Decode Throughput Per User (tokens/sec/user),4.23,0.45,5.48,,,,,,4.36,,4.39,4.39,4.40,0.66
Active Prefill Throughput (tokens/sec),1131.53,118.33,2328.79,,,,,,1107.33,,1496.79,1673.91,2328.79,433.24
Active Prefill Throughput Per User (tokens/sec/user),236.33,118.33,488.29,,,,,,233.41,,299.36,352.49,488.07,63.56
Active Total Throughput (tokens/sec),84.24,4.34,2328.79,,,,,,42.91,,42.96,42.96,1418.00,225.69
Credit-to-Start Latency (ms),3.54,1.14,6.85,177.02,1.16,1.27,1.49,2.27,3.33,4.13,6.21,6.60,6.84,1.65
Decode Duration (ms),232750.95,230199.33,235989.82,11637547.52,230332.58,230976.27,231737.98,231996.08,232341.06,233430.16,234568.16,234877.02,235482.95,1186.91
E2E Output Token Throughput (tokens/sec/user),4.22,4.14,4.28,210.80,4.15,4.18,4.19,4.22,4.22,4.22,4.23,4.24,4.27,0.02
Effective Concurrency,10.00,0.00,10.00,,,,,,10.00,,10.00,10.00,10.00,0.18
Effective Decode Concurrency,9.81,0.00,10.00,,,,,,10.00,,10.00,10.00,10.00,1.04
Effective Decode Throughput (tokens/sec),42.10,0.00,52.55,,,,,,43.60,,43.85,43.90,44.00,7.44
Effective Decode Throughput Per User (tokens/sec/user),4.22,0.00,5.48,,,,,,4.36,,4.39,4.39,4.40,0.68
Effective Latency (CO-aware) (ms),237174.28,233719.75,241817.19,11858713.82,234442.21,235733.32,236623.23,236918.48,236945.72,237013.41,238087.31,239377.21,240992.34,1166.98
Effective Prefill Concurrency,0.19,0.00,10.00,,,,,,0.00,,0.00,0.00,6.00,1.02
Effective Prefill Throughput (tokens/sec),42.14,0.00,2328.79,,,,,,0.00,,0.00,0.00,1400.87,230.00
Effective Prefill Throughput Per User (tokens/sec/user),8.80,0.00,488.29,,,,,,0.00,,0.00,0.00,237.04,46.40
Effective Total Throughput (tokens/sec),84.24,0.00,2328.79,,,,,,42.91,,42.96,42.96,1418.00,225.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1000.00,1000.00,1000.00,50000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.30,0.00,11.84,115.04,0.00,0.00,0.00,0.00,0.00,0.00,11.45,11.67,11.77,4.60
HTTP Connection Overhead (ms),2.30,0.00,11.84,115.04,0.00,0.00,0.00,0.00,0.00,0.00,11.45,11.67,11.77,4.60
HTTP Connection Reused (ratio),0.80,0.00,1.00,40.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),237.71,237.00,238.11,11885.44,237.17,237.44,237.53,237.59,237.70,237.80,238.00,238.02,238.07,0.20
HTTP Data Sent (KB),4.48,4.20,4.86,223.75,4.24,4.30,4.31,4.36,4.46,4.58,4.64,4.69,4.84,0.14
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),237170.59,233716.33,241815.26,11858529.67,234439.32,235731.45,236621.80,236911.74,236942.09,237010.52,238083.47,239375.67,240990.49,1167.31
HTTP Receiving (ms),232750.96,230199.35,235989.81,11637548.10,230332.60,230976.28,231738.02,231996.10,232341.05,233430.17,234568.15,234877.04,235482.94,1186.90
HTTP Sending (ms),2.63,0.18,12.23,131.52,0.18,0.20,0.21,0.24,0.36,0.49,11.89,11.96,12.11,4.61
HTTP Total Time (ms),237172.89,233716.33,241826.72,11858644.71,234439.32,235736.71,236633.46,236911.74,236942.09,237010.52,238084.57,239387.23,241002.13,1169.56
HTTP Waiting (TTFB) (ms),4417.00,1514.86,8438.93,220850.05,1775.75,2049.30,3162.01,3502.75,4592.60,5031.73,5228.24,7401.89,8218.19,1415.27
Input Sequence Length (tokens),1000.00,1000.00,1000.00,50000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
Inter Chunk Latency (ms),233.09,214.70,2060.79,11637547.52,227.33,227.83,228.11,228.67,229.38,230.16,230.98,232.85,235.74,63.75
Inter Token Latency (ms),233.01,230.43,236.23,11650.60,230.56,231.21,231.97,232.36,232.58,233.66,234.80,235.11,235.72,1.19
OSL Mismatch Diff % (%),-0.01,-0.60,0.00,-0.60,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Output Sequence Length (tokens),999.88,994.00,1000.00,49994.00,996.94,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.84
Output Token Count (tokens),999.88,994.00,1000.00,49994.00,996.94,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.84
Output Token Throughput Per User (tokens/sec/user),4.29,4.23,4.34,214.59,4.24,4.25,4.26,4.28,4.30,4.30,4.31,4.33,4.34,0.02
Prefill Throughput Per User (tokens/sec/user),254.62,118.33,654.87,12730.81,121.59,135.94,192.56,198.61,217.72,285.46,321.67,487.87,573.25,102.44
Request Latency (ms),237170.74,233716.43,241815.57,11858536.80,234439.41,235731.56,236621.94,236911.91,236942.19,237010.62,238083.65,239375.84,240990.74,1167.34
Time to First Output Token (ms),4419.79,1527.01,8451.14,220989.28,1782.28,2049.74,3172.84,3503.15,4593.06,5034.99,5229.69,7414.15,8230.40,1417.18
Time to First Token (ms),4419.79,1527.01,8451.14,220989.28,1782.28,2049.74,3172.84,3503.15,4593.06,5034.99,5229.69,7414.15,8230.40,1417.18
Time to Second Token (ms),1231.40,229.07,1770.47,61569.76,229.85,230.98,428.80,490.01,1509.41,1687.68,1697.41,1701.55,1737.30,566.93
Tokens In Flight (tokens),14885.95,0.00,19976.98,,,,,,14895.00,,18950.96,19455.00,19865.00,2927.28

Metric,Value
Benchmark Duration (sec),1186.43
Input Token Throughput (tokens/sec),42.14
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),42.14
Request Count,50.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),50000.00
Total Output Sequence Length (tokens),49994.00
Total Output Tokens (tokens),49994.00
Total Token Throughput (tokens/sec),84.28


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
